stem,voronoi_f1,voronoi_iou,voronoi_precision,voronoi_recall,voronoi_tp,voronoi_fp,voronoi_fn,voronoi_tn,sam_f1,sam_iou,sam_precision,sam_recall,sam_tp,sam_fp,sam_fn,sam_tn,delta_iou,n_tokens,n_regen_masks,align_mean_centroid_error,align_mean_area_error,align_count_gap
11204,0.26950504463578256,0.15573870573870574,0.19556884391291016,0.43332767113979953,12755.0,52465.0,16680.0,180244.0,0.14608726373432257,0.0787994282991901,0.20866712924998423,0.11238321725836589,3308.0,12545.0,26127.0,220164.0,-0.07693927743951565,73,73,0.0,0.0,0.0
03182,0.07794753086419753,0.040554319986511336,0.04212677231025855,0.520721649484536,5051.0,114849.0,4649.0,137595.0,0.2291320754716981,0.12938970337538358,0.16200640341515474,0.39123711340206185,3795.0,19630.0,5905.0,232814.0,0.08883538338887224,134,134,0.0,0.0,0.0
02593,0.6026821480406387,0.43131356777238583,0.6262034020991676,0.580863921217547,25953.0,15492.0,18727.0,201972.0,0.5931252139996724,0.42159062050283586,0.8856533143644689,0.4458594449418084,19921.0,2572.0,24759.0,214892.0,-0.009722947269549975,161,161,0.0,0.0,0.0
00569,0.388600161987041,0.2411568828666569,0.3380029500040361,0.4570124522498388,46060.0,90211.0,54725.0,71148.0,0.0627750649443398,0.032404633973254195,0.3129784582517358,0.034886143771394554,3516.0,7718.0,97269.0,153641.0,-0.20875224889340271,77,77,0.0,0.0,0.0
05151,0.42412091727172824,0.2691329061475075,0.341377293824163,0.5598082058752124,46117.0,88974.0,36263.0,90790.0,0.26178403143495343,0.15060500891098397,0.39855036489102913,0.19490167516387472,16056.0,24230.0,66324.0,155534.0,-0.11852789723652354,89,89,0.0,0.0,0.0
00802,0.0392819277974447,0.020034460004399148,0.025822760885486806,0.08204473802732322,1093.0,41234.0,12229.0,207588.0,0.04235223341855918,0.021634246028087643,0.03533604376850876,0.052844918180453386,704.0,19219.0,12618.0,229603.0,0.0015997860236884945,123,123,0.0,0.0,0.0
04324,0.11191813987483441,0.05927610568082842,0.060920521512818175,0.6871085351032999,7350.0,113299.0,3347.0,138148.0,0.08022325223332424,0.04178780284043442,0.04841832191117822,0.23380387024399366,2501.0,49153.0,8196.0,202294.0,-0.017488302840393995,149,149,0.0,0.0,0.0
06019,0.45590752699106796,0.2952592121005894,0.47574326594860367,0.4376596540895853,26899.0,29642.0,34562.0,171041.0,0.23475211793913645,0.13298535595186312,0.5498471314669384,0.14923284684596735,9172.0,7509.0,52289.0,193174.0,-0.1622738561487263,107,107,0.0,0.0,0.0
01956,0.31109231486602257,0.18419734696236179,0.19036117396468552,0.8504936112181672,28688.0,122015.0,5043.0,106398.0,0.5410060082857948,0.370807564224548,0.4265412569474134,0.7394384987103851,24942.0,33533.0,8789.0,194880.0,0.18661021726218624,59,59,0.0,0.0,0.0
00901,0.18737576904874584,0.10337264936065221,0.1191092191754035,0.4389655745883918,15837.0,117125.0,20241.0,108941.0,0.19346654645335792,0.10709270070451142,0.15557766237269846,0.25575142746271967,9227.0,50081.0,26851.0,175985.0,0.003720051343859207,103,103,0.0,0.0,0.0
