tp,fp,fn,tn,precision,recall,f1,iou,stem,mean_token_prob,mean_pixel_prob,mean_within_token_variance,boundary_inconsistency,interior_inconsistency
59026,72801,76196,54121,0.4477534951110167,0.436511810208398,0.44206119476200995,0.2837474702316571,00871,0.47516530752182007,0.49169793725013733,5.080700996967344e-15,0.3244737684726715,0.0
131880,50356,37196,42712,0.7236769902763449,0.7800042584399914,0.750785626451701,0.6010062342775894,04242,0.6182923316955566,0.6321693658828735,2.928298262913359e-15,0.25180602073669434,0.0
13740,115393,2647,130364,0.10640192669573231,0.8384695185207787,0.18884002199010447,0.10426468356351495,02098,0.46111738681793213,0.4384215772151947,3.3887689799661127e-15,0.40605708956718445,0.0
10557,42338,40238,169011,0.19958408167123545,0.20783541687173934,0.2036261934612788,0.11335402059420399,05283,0.21878284215927124,0.25276851654052734,8.211373533201816e-16,0.2527952492237091,0.0
2940,74265,10569,174370,0.03808043520497377,0.2176326893182323,0.0648191017924466,0.033495112447877506,08417,0.25232887268066406,0.2627395689487457,2.0301944447008458e-15,0.27144017815589905,0.0
5293,82453,10620,163778,0.060321838032502906,0.33262112738012944,0.10212330815462237,0.05380924303112864,08174,0.3208811283111572,0.33124682307243347,1.623191750484182e-15,0.31436073780059814,0.0
39850,68443,13499,140352,0.3679831568060724,0.7469680781270501,0.49306492124571577,0.3271971886495008,02810,0.32941174507141113,0.3827534317970276,4.7048198419176055e-15,0.2852599024772644,0.0
17751,79179,28765,136449,0.18313215722686474,0.3816106286009115,0.24749383043096354,0.14122280122518796,04815,0.3891026973724365,0.41668206453323364,2.5565159700045213e-15,0.34180697798728943,0.0
7113,27718,32654,194659,0.20421463638712642,0.17886689969069833,0.19070216359687928,0.10540120026672593,00125,0.22294938564300537,0.21771234273910522,1.4181542293029321e-15,0.2224891632795334,0.0
78771,72925,29542,80906,0.5192688007594136,0.7272534229501537,0.6059097954301582,0.43462739602070205,10705,0.5193157196044922,0.5652883648872375,7.0917697983594735e-15,0.27239856123924255,0.0
152,16420,2842,242730,0.009172097513878832,0.05076820307281229,0.015537156291526117,0.007829401462861853,00892,0.13688142597675323,0.12669329345226288,9.932762856230997e-16,0.14933563768863678,0.0
2002,30440,9808,219894,0.06171012884532396,0.1695173581710415,0.09048178613396005,0.047384615384615386,01562,0.11024526506662369,0.13161055743694305,3.2755782413121115e-16,0.12362037599086761,0.0
101532,93164,31780,35668,0.5214899124789415,0.7616118578972636,0.6190824614033804,0.4483124039633339,00137,0.6015631556510925,0.6166073679924011,4.410106864983291e-15,0.23781265318393707,0.0
3462,27369,20655,210658,0.11228957867081833,0.143550192810051,0.12601004586154183,0.0672415802354038,10697,0.1713261902332306,0.2037401646375656,5.851343531185935e-16,0.1723940372467041,0.0
35885,134632,10506,81121,0.21044822510365535,0.7735336595460326,0.330877607096096,0.19823447849168338,06036,0.4842129945755005,0.6056028604507446,2.7246085630025235e-15,0.27425339818000793,0.0
22358,59051,22538,158197,0.27463793929418123,0.4979953670705631,0.35403190689204705,0.2150903825988244,01378,0.31794530153274536,0.32052645087242126,2.2269030078770122e-15,0.293038934469223,0.0
60179,106514,46452,48999,0.3610169593204274,0.5643668351605068,0.44034918265501743,0.28233831429308687,06187,0.5014035105705261,0.5729711651802063,4.665784103070569e-15,0.23500679433345795,0.0
14145,78298,19105,150596,0.1530132081390695,0.42541353383458647,0.22507219972472614,0.12680639724602863,02169,0.35930320620536804,0.37252309918403625,3.4948137280285536e-15,0.36771202087402344,0.0
12209,108823,6215,134897,0.10087414898539229,0.6626682587928788,0.17509465351078476,0.09594725219455076,02733,0.4067692458629608,0.48773759603500366,3.631496544248994e-15,0.3135976195335388,0.0
129509,82089,19200,31346,0.6120520987911039,0.8708887827905507,0.7188813983630628,0.5611357117479354,02357,0.6795958280563354,0.7256470322608948,5.938346488519816e-15,0.23386047780513763,0.0
5790,48523,23711,184120,0.10660431204315725,0.19626453340564726,0.13816307538120123,0.07420793601968625,03929,0.3033599257469177,0.2758292853832245,1.4382692419524246e-15,0.23062781989574432,0.0
